"athlete","country_noc","sport","event","total_medals"
Paavo Nurmi,FIN,Athletics,"5,000 metres, Men",12
Allyson Felix,USA,Athletics,"200 metres, Women",11
Carl Lewis,USA,Athletics,"100 metres, Men",10
Ray Ewry,USA,Athletics,"Standing High Jump, Men",8
Usain Bolt,JAM,Athletics,"100 metres, Men",8
Ville Ritola,FIN,Athletics,"5,000 metres, Men",8
Gwen Torrence,USA,Athletics,"4 × 100 metres Relay, Women",7
Merlene Ottey,JAM,Athletics,"200 metres, Women",7
Shelly-Ann Fraser-Pryce,JAM,Athletics,"100 metres, Women",7
